group,event_label,event_code,epoch_index,event_sample,event_time_s,channel,is_bad,band,power,db
Major,34041,10,0,170848,83.422,CZ,no,theta,1.047927e-12,-119.796
Major,34041,10,0,170848,83.422,CZ,no,alpha,3.852938e-12,-114.142
Major,34041,10,0,170848,83.422,CZ,no,beta,1.748468e-13,-127.568
Major,34041,10,0,170848,83.422,CZ,no,gamma,6.631412e-14,-131.769
Major,34041,10,0,170848,83.422,PZ,no,theta,9.694024e-13,-120.134
Major,34041,10,0,170848,83.422,PZ,no,alpha,2.430540e-11,-106.143
Major,34041,10,0,170848,83.422,PZ,no,beta,3.715128e-13,-124.298
Major,34041,10,0,170848,83.422,PZ,no,gamma,9.439924e-14,-130.240
Major,34041,10,0,170848,83.422,CP4,no,theta,5.749345e-13,-122.402
Major,34041,10,0,170848,83.422,CP4,no,alpha,6.595898e-12,-111.807
Major,34041,10,0,170848,83.422,CP4,no,beta,2.354858e-13,-126.276
Major,34041,10,0,170848,83.422,CP4,no,gamma,1.122766e-13,-129.489
Major,34041,10,0,170848,83.422,FZ,no,theta,2.750995e-12,-115.605
Major,34041,10,0,170848,83.422,FZ,no,alpha,5.988321e-12,-112.227
Major,34041,10,0,170848,83.422,FZ,no,beta,4.639814e-13,-123.333
Major,34041,10,0,170848,83.422,FZ,no,gamma,8.486678e-14,-130.701
Major,34041,10,0,170848,83.422,FP2,no,theta,1.901343e-12,-117.209
Major,34041,10,0,170848,83.422,FP2,no,alpha,7.175679e-12,-111.441
Major,34041,10,0,170848,83.422,FP2,no,beta,3.754145e-13,-124.252
Major,34041,10,0,170848,83.422,FP2,no,gamma,1.909647e-13,-127.185
Major,34041,10,0,170848,83.422,F4,no,theta,1.900493e-12,-117.211
Major,34041,10,0,170848,83.422,F4,no,alpha,4.472199e-12,-113.495
Major,34041,10,0,170848,83.422,F4,no,beta,3.306298e-13,-124.804
Major,34041,10,0,170848,83.422,F4,no,gamma,1.456940e-13,-128.359
Major,34041,10,0,170848,83.422,C4,no,theta,6.759704e-13,-121.699
Major,34041,10,0,170848,83.422,C4,no,alpha,1.376067e-12,-118.613
Major,34041,10,0,170848,83.422,C4,no,beta,2.430553e-13,-126.139
Major,34041,10,0,170848,83.422,C4,no,gamma,1.826814e-13,-127.378
Major,34041,10,0,170848,83.422,P4,no,theta,7.586411e-13,-121.198
Major,34041,10,0,170848,83.422,P4,no,alpha,2.075288e-11,-106.829
Major,34041,10,0,170848,83.422,P4,no,beta,3.798285e-13,-124.202
Major,34041,10,0,170848,83.422,P4,no,gamma,8.220510e-14,-130.839
Major,34041,10,0,170848,83.422,TP8,no,theta,9.103235e-13,-120.407
Major,34041,10,0,170848,83.422,TP8,no,alpha,2.899044e-12,-115.377
Major,34041,10,0,170848,83.422,TP8,no,beta,1.042638e-12,-119.818
Major,34041,10,0,170848,83.422,TP8,no,gamma,6.237157e-13,-122.049
Major,34041,10,0,170848,83.422,P8,no,theta,1.071252e-12,-119.700
Major,34041,10,0,170848,83.422,P8,no,alpha,6.031289e-12,-112.196
Major,34041,10,0,170848,83.422,P8,no,beta,8.893804e-13,-120.508
Major,34041,10,0,170848,83.422,P8,no,gamma,4.745572e-13,-123.235
Major,34041,10,0,170848,83.422,T8,no,theta,1.023748e-12,-119.897
Major,34041,10,0,170848,83.422,T8,no,alpha,2.597179e-12,-115.855
Major,34041,10,0,170848,83.422,T8,no,beta,5.624678e-13,-122.497
Major,34041,10,0,170848,83.422,T8,no,gamma,4.725839e-13,-123.253
Major,34041,10,0,170848,83.422,F8,no,theta,1.899513e-12,-117.213
Major,34041,10,0,170848,83.422,F8,no,alpha,5.572659e-12,-112.539
Major,34041,10,0,170848,83.422,F8,no,beta,4.588269e-13,-123.381
Major,34041,10,0,170848,83.422,F8,no,gamma,4.313915e-13,-123.649
Major,34041,10,0,170848,83.422,FP1,no,theta,1.604560e-12,-117.946
Major,34041,10,0,170848,83.422,FP1,no,alpha,7.325530e-12,-111.351
Major,34041,10,0,170848,83.422,FP1,no,beta,3.589024e-13,-124.448
Major,34041,10,0,170848,83.422,FP1,no,gamma,1.957165e-13,-127.079
Major,34041,10,0,170848,83.422,C3,no,theta,5.894368e-13,-122.294
Major,34041,10,0,170848,83.422,C3,no,alpha,2.235903e-12,-116.505
Major,34041,10,0,170848,83.422,C3,no,beta,2.397974e-13,-126.198
Major,34041,10,0,170848,83.422,C3,no,gamma,1.694908e-13,-127.703
Major,34041,10,0,170848,83.422,T7,no,theta,1.021017e-12,-119.909
Major,34041,10,0,170848,83.422,T7,no,alpha,1.799496e-12,-117.448
Major,34041,10,0,170848,83.422,T7,no,beta,5.978437e-13,-122.233
Major,34041,10,0,170848,83.422,T7,no,gamma,6.134425e-13,-122.121
Major,34041,10,0,170848,83.422,P3,no,theta,1.108515e-12,-119.552
Major,34041,10,0,170848,83.422,P3,no,alpha,2.127187e-11,-106.722
Major,34041,10,0,170848,83.422,P3,no,beta,4.918479e-13,-123.080
Major,34041,10,0,170848,83.422,P3,no,gamma,2.869268e-13,-125.419
Major,34041,10,0,170848,83.422,P7,no,theta,1.632858e-12,-117.870
Major,34041,10,0,170848,83.422,P7,no,alpha,4.066202e-12,-113.908
Major,34041,10,0,170848,83.422,P7,no,beta,4.022508e-13,-123.953
Major,34041,10,0,170848,83.422,P7,no,gamma,1.820400e-13,-127.393
Major,34041,10,0,170848,83.422,CP3,no,theta,6.478224e-13,-121.884
Major,34041,10,0,170848,83.422,CP3,no,alpha,7.282980e-12,-111.377
Major,34041,10,0,170848,83.422,CP3,no,beta,2.746840e-13,-125.608
Major,34041,10,0,170848,83.422,CP3,no,gamma,1.388780e-13,-128.567
Major,34041,10,0,170848,83.422,TP7,no,theta,1.208763e-12,-119.176
Major,34041,10,0,170848,83.422,TP7,no,alpha,1.434110e-12,-118.434
Major,34041,10,0,170848,83.422,TP7,no,beta,3.023678e-13,-125.191
